id,segment,gamecategory,subgamecategory,bundle,created,shift,oblast,city,os,osv,segment_predict
50790,3,Games,Action,com.axlebolt.standoff2,2021-08-07 13:25:26,MSK+5,Иркутская область,Иркутск,android,10.0,5
50793,3,,,1561798675,2021-07-05 14:43:32,MSK+2,Пермский край,Пермь,ios,14.4.0,4
50796,5,Applications,Social,com.topface.topface,2021-09-15 13:02:07,MSK,Санкт-Петербург,Санкт-Петербург,android,11.0,5
50799,3,,,ru.kuchaknig.android.freebooks.crime,2021-07-07 17:23:18,,,,Android,11,4
50809,4,Games,Strategy,net.wargaming.wot.blitz,2021-08-02 08:06:37,MSK+3,Новосибирская область,Новосибирск,android,11.0,4
50827,3,,,com.deuscraft.TurboTeam,2021-08-07 23:06:12,MSK,Татарстан,Казань,android,10.0.0,5
50839,3,Games,Role Playing,981633844,2021-08-07 19:01:08,MSK,Краснодарский край,Краснодар,ios,14.6,3
50844,3,Games,Action,com.axlebolt.standoff2,2021-07-06 16:09:15,MSK,Краснодарский край,Краснодар,android,9.0,5
50845,3,Games,Casual,com.playrix.gardenscapes,2021-07-10 23:38:33,MSK,Ростовская область,Азов,android,10.0,3
50847,3,Games,Arcade,com.hikergames.ArcadeHunter,2021-09-18 03:38:37,MSK,Санкт-Петербург,Санкт-Петербург,android,11.0,5
50852,4,,,com.mine.mods.cars,2021-08-04 20:20:25,MSK+2,Челябинская,Троицк,android,10,5
50855,5,Games,Casual,com.playrix.gardenscapes,2021-08-02 16:17:07,MSK,Москва,Москва,android,10.0,3
50872,3,Games,Action,com.gta.real.gangster.crime,2021-09-20 10:00:19,MSK+3,Алтай,Горно-Алтайск,android,11.0,4
50874,3,,,link.merge.puzzle.onnect.number,2021-08-03 23:48:08,MSK,Ставрополье,Ставрополь,android,10.0.0,2
50886,3,Games,Casual,com.matchfun.gemplanet,2021-09-16 18:49:55,MSK,Архангельская область,Северодвинск,android,10.0,5
50892,5,Games,Puzzle,com.smallgiantgames.empires,2021-09-17 02:15:21,MSK+4,Хакасия,Абакан,android,7.1,3
50898,3,,,com.iposedon.bricksbreakerballs,2021-07-07 21:25:07,MSK,Карелия,Петрозаводск,Android,10,2
50900,4,,,com.casual.impostor.smasher,2021-07-05 07:50:58,MSK+6,Забайкальский Край,Чита,android,10.0.0,5
50911,5,Games,Puzzle,com.mergegames.myth,2021-08-03 08:06:59,MSK,Краснодарский край,Краснодар,android,10.0,5
50914,4,,,com.gma.soda.sort.puzzle,2021-07-05 18:37:05,MSK,Санкт-Петербург,Санкт-Петербург,android,9.0.0,5
50926,4,,,com.openmygame.games.android.wordpizza,2021-08-08 19:26:29,MSK,Дагестан,Махачкала,Android,9,4
50941,3,Games,Action,com.zeptolab.omnomrun.google,2021-09-20 19:10:54,MSK+2,Свердловская область,Екатеринбург,android,9.0,4
50943,5,Games,Card,ru.playvision.durak,2021-08-02 17:35:59,MSK,Москва,Москва,android,10.0,3
50945,1,Games,Board,1061530248,2021-07-07 08:41:43,MSK+1,Самарская область,Тольятти,ios,14.6,4
50946,3,Games,Simulation,506627515,2021-09-17 12:31:40,MSK,Санкт-Петербург,Санкт-Петербург,ios,12.5.4,3
50948,5,Games,Adventure,com.multicraft.game,2021-08-03 08:25:02,MSK,Санкт-Петербург,Санкт-Петербург,android,4.4.4,4
50951,3,Games,Puzzle,com.easybrain.nonogram,2021-09-17 17:23:07,MSK,Воронежская область,Воронеж,android,10.0,5
50962,3,Games,Word,com.fugo.wow,2021-08-07 08:41:16,MSK,Краснодарский край,Краснодар,android,11.0,3
50995,3,Games,Adventure,1543158709,2021-08-06 17:03:19,MSK,Краснодарский край,Краснодар,ios,14.2,3
51054,3,Lifestyle,None,351331194,2021-07-11 06:18:47,MSK+7,Приморский край,Владивосток,ios,14.6,5
51064,4,,,996967521,2021-09-20 07:44:32,MSK,Ставрополье,Ставрополь,iOS,13.5.1,3
51065,3,Social Networking,None,1350301428,2021-07-06 02:35:38,MSK,Пензенская область,Пенза,ios,14.6,5
51080,4,Games,Puzzle,893677096,2021-08-04 07:38:52,MSK+6,Забайкальский Край,Чита,ios,14.6,5
51095,5,Games,Casual,com.twimler.jewelmash,2021-09-15 12:39:42,MSK+2,Свердловская область,Екатеринбург,android,11.0,5
51104,5,,,games.lightheart.mrautofire,2021-08-04 01:29:24,MSK,Москва,Москва,android,10.0.0,3
51114,4,,,com.iposedon.bricksbreakerballs,2021-08-08 12:24:54,MSK+2,Свердловская область,Екатеринбург,Android,10,5
51118,5,,,com.Garawell.BridgeRace,2021-08-05 09:27:14,MSK,Татарстан,Казань,android,11.0.0,3
51120,5,,,net.wargaming.wot.blitz,2021-08-02 08:53:54,MSK+2,Башкортостан,Кумертау,android,9.0.0,3
51144,4,,,com.dragon.wars.io,2021-07-05 14:29:04,MSK,Москва,Москва,android,8.0.0,5
51154,5,,,com.swagmasha.genres,2021-08-02 02:32:58,MSK,Санкт-Петербург,Санкт-Петербург,android,10.0.0,3
51176,3,Games,Casual,com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,2021-08-07 19:56:23,MSK,Санкт-Петербург,Санкт-Петербург,android,10.0,5
51186,5,Applications,Shopping,com.allgoritm.youla,2021-09-18 02:22:15,MSK,Москва,Москва,android,9.0,3
51194,3,,,es.socialpoint.wordlife,2021-08-04 07:28:12,MSK+2,Свердловская область,,android,9.0.0,5
51222,5,,,ponasenkov.vitaly.promtests,2021-08-06 06:59:26,MSK+2,Башкортостан,Уфа,android,11,5
51231,5,,,com.byv.theships,2021-08-04 06:54:43,MSK,Калмыкия,Тавн-Гашун,android,8.1.0,3
